"Prefix","Number","Title","Hours","Description","Unk","Taught"
"HUSL","6381","Critical Approaches to Translation","3","The study of the various approaches to the history, theory, and criticism of literary and humanistic translation. Topics may include the translator's working methods, interviews with translators, multiple translations, the changing nature of interpretive approaches, theoretical models of translation, and criteria for the evaluation of translations. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","T"
"HUSL","6383","Teaching First-Year Writing","3","Covers both the methods of teaching first-year writing and pedagogical theories of modern composition. Enrollment required for teaching assistants assigned to sections of Rhetoric 1302, but not limited to such students. (May be repeated for credit to a maximum of 6 hours.)","3-0","Y"
"HUSL","6384","Digital and Visual Rhetorics","3","Covers a wide range of topics addressing the study of visual rhetoric as well as rhetoric in digital environments. Course also emphasizes the relationship of digital and visual rhetorics to media ecology/media studies as well as the implications of these rhetorics for composition pedagogy.","3-0","T"
"HUSL","6385","Rhetorical Theory","3","A historical survey of Western rhetorical theory focusing on major figures in rhetoric.","3-0","T"
"HUSL","6386","Special Topics in Rhetoric","3","A seminar in the study of rhetoric. May include one or more topics such as ethos, histories of rhetoric, the rhetoric of technology and science, the Sophists, rhetoric as epistemic, key figures in rhetoric (e.g., Burke, Foucault, Baudrillard, Spivak, etc.). (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","R"
"HUSL","6388","The Nature of Language","3","An inquiry into the nature, origins, and evolution of language, the relationship of language to thought and to creativity, language as a social tool, and nonverbal patterns of communication. Survey of linguistic theory and method applicable to the study of the phonological, morphological, lexical, semantic, and syntactic levels of language.","3-0","T"
"HUSL","6389","Applied Linguistics","3","Techniques for comparing two or more languages. The study of traditional and modern theories and practices of language learning and teaching.","3-0","T"
"HUSL","6390","Theory and Practice in Literary Studies","3","Group projects integrating the interpretation of literary texts or themes with experiments in creative writing and performance. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUSL","6392","Topics in Literary Studies","3","The study of themes, genres, authors, and/or movements in literature. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","R"
"HUSL","6393","Independent Readings in Literary Studies","3","(May be repeated for credit.)","3-0","R"
"HUSL","6394","Independent Research in Literary Studies","3","(May be repeated for credit.)","3-0","R"
"HUSL","6395","Special Topics in Literary Studies","3","Independent studies course that may count toward minimum course requirements for the M.A. degree. (May be repeated for credit to a maximum of 9 hours.)","3-0","R"
"HUSL","6396","Spanish Language, Literature, and Culture","3","Studies in the language, various literary movements, or the general cultures of Spanish-speaking peoples in Europe or Latin America. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","R"
"HUSL","6398","World Literatures","3","Studies in literatures from specific regions, ethnic groups, and nationalities within and outside the United States. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUSL","6399","Studies in Asian Literature","3","Studies in the literature and cultures of Asia. Topics may include Zen/Chan History, Thought, and Poetry; Confucianism; and the I-Ching (Book of Changes). (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUSL","7308","Advanced Studies in Literary Forms and Genres","3","Advanced studies in various literary genres, either individually or in relation to each other. Topics considered may include the difficulties of defining genres, the nature of specific genres, their historical and aesthetic development, and their artistic possibilities. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUSL","7309","Advanced Studies in Literary Movements","3","Advanced studies in the nature of intellectual and artistic movements, with emphasis on how they affect literary expression. Examples of such movements are romanticism, naturalism, modernism, and postmodernism. (May be repeated for credit as topics vary to a maximum of 9 credit hours).","3-0","R"
"HUSL","7322","Advanced Translation Workshop","3","An intensive investigation in a workshop environment of the aesthetics of the art and craft of literary translation focusing on the techniques and processes involved in producing English translations of poetic, dramatic, fictional, and essayistic works. Students are expected to produce publishable translations primarily of works by contemporary international writers. Discussions will include the history and theory of literary translation. Permission of the instructor or previous completion of HUSL 6380 required.","3-0","R"
"HUSL","7350","Advanced Studies in Nineteenth Century Literature","3","Advanced studies in the literature and culture of the nineteenth century. May focus on British, European, American, Asian, or Latin American contexts. (May be repeated for credit as topics vary to a maximum of 9 hours)","3-0","T"
"HUSL","7360","Advanced Studies in Twentieth Century Literature","3","Advanced studies in the literature and culture of the twentieth century. May focus on British, European,  American, Asian, or Latin American contexts. (May be repeated for credit as topics vary to a maximum of 9 hours)","3-0","T"
"HUSL","7370","Advanced Studies in Literature and History","3","Studies of selected literary texts and art movements in times of high political tension (American Revolution, Civil War, Weimar Germany, etc.) (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","R"
"HUSL","7372","Advanced Studies in Literature and Society","3","Advanced studies of the values and concerns of various social groups through the analysis of literary texts, including consideration of the role of literature and the writer in given societies. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","R"
"HUSL","7390","Advanced Special Topics in Literary Studies","3","Independent studies course that may count toward minimum course requirements for the Ph.D. degree. (May be repeated for credit to a maximum of 9 hours.)","3-0","R"
"HUSL","7391","Special Topics in Translation Studies","3","The investigation of the field of Translation Studies. Topics may include the anthropological foundation of translation; the study of crossing cultural barriers; translation methodologies as a model for interdisciplinary research; communication as translation; translation and reading; historical aspects of translation; models of cultural differences; critical approaches to the theories of translation from the Greeks to the present; and specific research and translation projects. (May be repeated for credit as topics vary to a maximum of 9 hours.)","3-0","R"
"HUSL","8303","Independent Readings in Literary Studies","3","(May be repeated for credit.)","3-0","R"
"HUSL","8305","Independent Research in Literary Studies","3","(May be repeated for credit.)","3-0","R"
"ISAH","3130","Careers for A&H Majors","1","This course provides students with assistance in exploring careers in the arts and humanities and in making effective career decisions.","1-0","R"
"ISAH","3131","Careers for ATEC Majors","1","This course provides students with assistance in exploring careers in art and technology and in making effective career decisions.","1-0","R"
"ISAH","4350","Internship","3","Students undertake a new learning experience at a supervised work situation related to their academic interests. An internship provides exposure to a professional working environment, application of theory to working realities, and an opportunity to test skills and clarify goals. Course requirements include formal and reflective writing. May be repeated for credit (6 hours maximum).","3-0","R"
"ISAH","4V88","Special Interdisciplinary Topics in the Arts and Humanities","1-6","Subject matter will vary from semester to semester. May be repeated for credit (9 hours maximum).","[1-6]-0","R"
"JAPN","1311","Beginning Japanese I","3"," This course will integrate acquisition of the four language skills (listening, speaking, reading, and writing) with study of Japanese culture and civilization.","3-0","Y"
"JAPN","1312","Beginning Japanese II","3"," This course is a continuation of beginning Japanese I.  It will include review and application of skills in listening comprehension, speaking, reading, and writing.  The course emphasizes conversation, vocabulary acquisition, reading, composition, and culture. Prerequisite: JAPN 1311 or consent of instructor.","3-0","Y"
"JAPN","2311","Intermediate Japanese I","3"," This course is a continuation of beginning Japanese.  It will include review and application of skills in listening comprehension, speaking, reading, and writing.  The course emphasizes conversation, vocabulary acquisition, reading, composition, and culture. Prerequisite: JAPN 1312 or consent of instructor.","3-0","Y"
"JAPN","2312","Intermediate Japanese II","3"," This course is a continuation of Intermediate Japanese II.  It will include review and application of skills in listening comprehension, speaking, reading, and writing.  The course focuses on conversation, vocabulary acquisition, reading, and composition.  A major course component will be an emphasis on Japanese culture.  Prerequisite: JAPN 2311 or consent of instructor.","3-0","Y"
"LANG","1311","Beginning Language Instruction I","3","This course offers beginning instruction in foreign languages not taught on a regular basis. It integrates acquisition of language skills (listening, speaking, reading, and writing) with study of culture and civilization. Languages will vary but may include Italian, Hindi, or Russian. May be repeated for credit as language varies (6 hours maximum).","3-0","R"
"LANG","1312","Beginning Language Instruction II","3","This course is a continuation of LANG 1311 Beginning Language Instruction I. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course emphasizes conversation, vocabulary acquisition, reading, composition, and culture. Languages will vary but may include Italian, Hindi, or Russian. May be repeated for credit as language varies (6 hours maximum).","3-0","R"
"LANG","2311","Intermediate Language Instruction I","3","This course is a continuation of beginning instruction in foreign languages not taught on a regular basis. The course integrates acquisition of language skills (listening, speaking, reading, and writing) with study of culture and civilization. Languages will vary but may include Italian, Hindi, or Russian. May be repeated for credit as language varies (6 hours maximum).","3-0","R"
"LANG","2312","Intermediate Language Instruction II","3","This course is a continuation of LANG 2311 Intermediate Language Instruction I. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course emphasizes conversation, vocabulary acquisition, reading, and composition. A major course component will be an emphasis on culture. Languages will vary but may include Italian, Hindi, or Russian. May be repeated for credit as language varies (6 hours maximum).","3-0","R"
"LANG","2342","Topics in Language","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum).","3-0","R"
"LANG","3342","Advanced Language Instruction","3","This course is a continuation of instruction in foreign languages not taught on a regular basis. Languages will vary. May be repeated for credit as topics vary (6 hours maximum).","3-0","R"
"LANG","3348","Topics in Language","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum).","3-0","R"
"LANG","4348","Advanced Topics in Language","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum).","3-0","R"
"LATS","6300","Introduction to Latin American Studies","3","An interdisciplinary introduction to the theories, methodologies, topics, and themes relevant to the study of Latin America. Required of all students in the M.A. program in Latin American Studies.","3-0","Y"
"LATS","6390","Internship in Latin American Studies","3","Students will complete an internship established in partnership with UT Dallas and businesses and/or not-for-profit agencies in the Dallas-Fort Worth area. (May be repeated but only 6 credit hours will be counted toward the M.A.)","3-0","R"
"LATS","6399","Capstone Project in Latin American Studies","3","Students produce a capstone project on a topic of their choice in Latin American Studies in the form of either a research thesis or final project. (May be repeated but only 6 credit hours will be counted toward the M.A.)","3-0","R"
"LIT","2331","Masterpieces of World Literature","3","A study of selected themes in world literature. This course will serve as a prerequisite for all upper-division literature courses.","3-0","Y"
"LIT","2332","Studies in Mythology","3","An introduction to mythology, with emphasis on the adaptability of mythic themes and characters as reflected in literature from antiquity through the contemporary period.","3-0","T"
"LIT","2341","Literary Analysis","3","A close reading of fiction, poetry, and drama. Emphasis will be placed on the development of critical skills through the writing of interpretive essays. This course is required of all Literary Studies majors.","3-0","S"
"LIT","2V71","Independent Study in Literary Studies","1-3","Independent study under a faculty member's direction. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","[1-3]-0","R"
"LIT","3300","Western Literary Tradition","3","Study of major themes of the classical tradition in Western literature and their subsequent transformation. Readings will include works by both classical authors and their literary heirs. This course is required of all Literary Studies majors. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","S"
"LIT","3304","Advanced Composition","3","Rhetorical strategies for analytical, descriptive, and research writing, with emphasis on grammar and style. Prerequisite: RHET 1302.","3-0","Y"
"LIT","3308","Electronic Expression","3","An introduction to forms of expression in and about electronic environments (both textual and visual). Examines topics ranging from writing for the WWW to e-mail, real-time technologies (Lingua MOO), electronic journals, hypertext, and other digital forms of expression. Prerequisite: RHET 1302 or equivalent).","3-0","T"
"LIT","3309","Studies in the Short Story","3","Studies of the short story in terms of authorial strategies and reader responses.  May examine such topics as how authors' strategies in shaping narratives manipulate perceptions and how modes of fiction influence reader responses.   Consideration of styles in the story's historical development and how they shape and reshape expectations.  Prerequisite: HUMA 1301, Lit 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3310","Studies in Epic and Romance","3","A comparative study of the two related genres, or a study of one of them, with emphasis on their approaches to themes such as heroism, love, or virtue. Readings may be drawn from classical, medieval, and modern literature, and works may include The Iliad, Song of Roland, and Don Quixote. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3311","The Literature of Science Fiction and Fantasy","3","The tradition of the fantastic narrative from classical through modern literature. Consideration of fantasy and/or science fiction as genres melding entertainment and speculation. Works of fantasy may include The Golden Ass, Dracula, and One Hundred Years of Solitude. Writers of science fiction may include Mary Shelley, Poe, Hawthorne, Wells, Clarke, Heinlein, and LeGuin. May be repeated for credit (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","R"
"LIT","3312","Studies in Prose Narrative","3","Studies in fiction, biography and autobiography, essays, and travelogues. May examine such topics as the history of the novel, spiritual autobiography, scientific biography, literary movements, and the new journalism. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","Y"
"LIT","3313","Studies in Dramatic Literature","3","Studies in drama as a literary form. May include such topics as Jacobean and Restoration drama, modern or contemporary European drama, and 20th-century American drama. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3314","Studies in Poetry","3","Examines representative selections of poetry with particular reference to techniques of diction, syntax, sound, and organization. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","Y"
"LIT","3315","Children's Literature","3","An examination of the kinds of literature produced for children and those concerning children as subjects. Works may include fiction, nonfiction, fairy tales, and films from a variety of historical periods as well as works of major authors. May be repeated for credit as topics vary (6 hours maximum). Same as ED 3315. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3318","British Romanticism","3","A study of selected works of major authors and poets during the era of English Romanticism.  Readings of lyric poetry and writings by Robert Burns, William Blake, William Wordsworth, Samuel Taylor Coleridge, Percy Shelley, John Keats, Lord Byron, Jane Austen, and Sit Walter Scott.  Prerequisite: HUMA 1301, LIT 2331, LIT 2332 or Lit 2341.","3-0","R"
"LIT","3319","Periods in English Literature","3","Examines representative selections of literature written during such periods as the Middle Ages, Renaissance, the 17th century, the 18th century, or the early 19th century, or topics such as the literature of the scientific revolution. May be repeated for credit when literary periods vary (9 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","Y"
"LIT","3320","Shakespeare","3","A study of selected works of Shakespeare including his sonnets, comedies, poems, tragedies, and historical plays. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3321","Modern British Literature","3","A study of major British authors since the mid-19th century. Authors may include Browning, Tennyson, Conrad, Joyce, Woolf, Yeats, and Eliot. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3322","Early American Literature","3","A consideration of the beginnings of American literature from Native American myths of origin and writings of Spanish, French and English explorers through Washington Irving. We will read authors such as Cabeza de Vaca, William Bradford, Cotton Mather, Jonathan Edwards, Phillis Wheately, Mary Rowlandson, Franklin, Olaudah Equiano, Paine, Jefferson, Madison, and Charles Brockden Brown. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","Y"
"LIT","3323","The American Renaissance 1820-1865","3","A consideration of the development of American literature particularly in New England. We will read authors such as Cooper, Emerson, Fuller, Thoreau, William Apess, Douglass, Harriet Jacobs, Longfellow, Poe, Hawthorne, Melville, Whitman, and Stowe, and works such as the Cherokee Memorials and the political writings of figures such as Lincoln. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3324","American Realism and Naturalism","3","Considers the development of late 19th- and early 20th-century writers in a society increasingly urban, cosmopolitan, and pluralistic. Writers may include Twain, Howells, James, Crane, Dreiser, and Anderson. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3325","American Modernism","3","Surveys the turbulent swings in American literature about 1910 to 1945. Considers such literary styles as imagism and social realism and samples a diverse array of writers which may include Pound, Fitzgerald, Hemingway, Faulkner, O'Neill, Dos Passos, and Wright. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3326","The Literature of the American South","3","An examination of the major writers of this region and their sometimes gothic vision of a decaying society. Authors may include Warren, Welty, O'Connor, McCullers, Williams, Faulkner, and Dickey. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3327","Mid-Twentieth Century American Literature","3","Surveys American literature from about 1945 to about 1980. Samples such writers as the confessional poets, the Beats, Updike, Oates, Pynchon, Bellow, Mailer, and Morrison, and considers such topics as black humor, feminism, the new journalism, and the self-reflexive novel. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3328","Ethics in Literature","3","Considers the perspective offered by literature on various ethical questions, and the relation between literature and moral philosophy. Topics may include existentialism, the environment, and religion and literature. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","Y"
"LIT","3329","Ethnic American Literature","3","Surveys the literature of American ethnic or minority cultures, considering both their specific cultural features and their relation to the wider American canon. Traditions to be considered may include African-American literature (slave narratives, Harlem Renaissance, contemporary fiction), Chicano literature, or Jewish-American literature. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3330","Linguistics","3","The nature of language; general survey of the contributions of linguistics to the fields of phonetics, phonemics, morphology, lexicology, syntax, and semantics. Other topics of general interest in the field will be covered, such as language change, dialects, writing systems and their history, use and misuse of language, and the language of media, advertising, and politics. Prerequisite: LIT 2331, LIT 2332, LIT 2341 or equivalency, or HUMA 1301.","3-0","Y"
"LIT","3331","Contemporary American Literature","3","Surveys American writers, styles, and movements from the past few decades. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","R"
"LIT","3332","English Syntax and Mechanical Structure","3","Study of the set of rules for combining words into phrases and phrases into clauses and sentences. ","3-0","R"
"LIT","3334","Literature of Science","3","Explores the interrelations between authors such as Donne, Swift, Mary Shelly, Hardy, and Pynchon, and science, such as astronomy, evolution, medicine, and chaos theory. May be repeated for credit as topics vary (6 hours maximum).","3-0","T"
"LIT","3342","Literature of the Bible","3","A study of the various types of literature found in selected books of the Old and New Testaments. Genres may include epic, tragedy, lyric poetry, satire, biography, and parable. The course may also include works which stem from biblical sources such as Milton's Paradise Lost, Byron's Cain, and MacLeish's J.B. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3343","European Romanticism","3","Readings in literary theory, fiction, drama, and lyric poetry by the mid-18th-century to mid-19th-century romantic writers of Italy, Germany, France, England, or Spain. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3344","European Realism and Naturalism","3","A study of the naturalist movement of the late 19th century in Europe. Consideration will be given to the philosophical, social, and scientific backgrounds. Readings will include dramas and novels. Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3380","Studies in Women's Literature","3","An introduction to literature by women. Examines selections of literature written from antiquity through the contemporary period. Considers such literary forms as autobiography, journals, letters, fiction, poetry, and drama. Samples a diverse array of women writers and their relation to the wider Western canon. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","T"
"LIT","3381","Topics in Western Literature","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","R"
"LIT","3382","Topics in Non-Western Literature","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","R"
"LIT","3385","Topics in Latin American Literature","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HUMA 1301, LIT 2331, LIT 2332, or LIT 2341.","3-0","R"
"LIT","4329","Major Authors","3","Study of one or more major literary figures such as Cervantes, Chaucer, Dante, Milton, Goethe, Blake, Balzac, Borges, Mann, Eliot, Austen, Dostoevsky, Paz, and Tolstoy. May be repeated for credit as subjects vary (9 hours maximum). Prerequisite: Upper-division standing or permission of the instructor.","3-0","T"
"LIT","4330","Dante","3","A close reading of The Divine Comedy (Inferno, Purgatorio, Paradiso) in its historical, philosophical, religious, and poetic contexts, along with related works by Dante and his contemporaries. Prerequisite: Upper-division standing or permission of the instructor.","3-0","T"
"LIT","4344","The Modern Novel","3","A study of several landmark, late 19th- and 20th-century novels, with attention to their literary, intellectual, and historical qualities. Authors may include Borges, Joyce, Proust, Mann, GarcÃa Marquez, or others. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: Upper-division standing or permission of the instructor.","3-0","T"
"LIT","4346","Contemporary Literature","3","Major trends in contemporary world literature with particular emphasis on the last ten years. Prerequisite: Upper-division standing or permission of the instructor.","3-0","T"
"LIT","4348","Topics in Literary Studies","3","Subject matter will vary from semester to semester. May be repeated for credit (9 hours maximum). Prerequisite: Upper-division standing or permission of the instructor.","3-0","R"
"LIT","4399","Senior Honors in Literary Studies","3","Intended for students conducting independent research for honors theses or projects. Prerequisite: Signature of instructor on the proposed project outline.","3-0","R"
"LIT","4V71","Independent Study in Literary Studies","1-3","Independent study under a faculty member's direction. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor required.","[1-3]-0","R"
"MUSI","1306","Understanding Music","3","An introduction to the elements and basic forms of music, with particular emphasis on the composer's creative process and the listener's participation. Methods of analytical and aesthetic appreciation will be applied to musical examples, with corollaries in literature, history, theatre, and the visual arts.","3-0","Y"
"MUSI","1313","Fundamentals of Music","3","Introduction to the elements and organization of music, including analysis and discussion of representative works. Focuses on developing practical musical skills through oral, aural, and written experiences with rhythms, melodies, intervals, scales, chords, and music notation.","3-0","Y"
"MUSI","2113","Pep Band","1","The UT Dallas Pep Band (or Spirit Band) is comprised of winds, brass and percussionists.  This performing group, in conjunction with Student Life and Student Activities, will provide music for a variety of events on campus throughout the year.  May be repeated for credit (9 hours maximum).","0-3","S"
"MUSI","2311","Topics in Music","3","An introduction to specialized topics in music. May include historical or cultural elements of music, a genre or composer, or digital aspects of music.  May be repeated for credit as topics vary (9 hours maximum).","3-0","R"
"MUSI","2315","Guitar I","3","An introductory class in the basic skills in classical and finger-style guitar for both beginning and intermediate students. Course includes hand positions and posture, accurate tuning, music reading, and melodic, harmonic, and rhythmic exercises. May be repeated for credit (9 hours maximum).","0-3","S"
"MUSI","2317","Piano I","3","Basic piano technique and interpretive skills, suitable for both beginning pianists and students with some keyboard experience but little formal training. May be repeated for credit (9 hours maximum).","0-3","S"
"MUSI","2319","Digital Music I","3","An introduction to the concepts and techniques of digital music production. Topics may include midi sequencing, digital audio, and basic editing techniques. May be repeated for credit (9 hours maximum).","0-3","Y"
"MUSI","2322","Music in Western Civilization","3","A broad review of Western music from the Middle Ages to the twenty-first century, with emphasis on the Middle Ages, Renaissance, Baroque, Classical, Romantic, and Modern styles. Develops listening skills and an understanding of diverse genres and places works in their social and cultural contexts.","3-0","T"
"MUSI","2324","Instrumental Ensemble I","3","May include orchestra, strings, winds, chamber music, etc. May be repeated for credit (9 hours maximum).","0-3","S"
"MUSI","2325","Vocal Instruction I","3","A course in basic singing techniques and interpretive skills, suitable for both beginning singers and for students with singing experience but little formal training. May be repeated for credit (9 hours maximum).","0-3","S"
"MUSI","2326","Jazz Ensemble I","3","A performing ensemble of approximately 24 players. Repertoire is selected from a broad range of jazz music. May be repeated for credit (9 hours maximum).","0-3","Y"
"MUSI","2327","Community Chorale","3","A choir that combines UT Dallas students, faculty, staff, alumni and singers from the community.  Repertoire is selected from sacred and secular choral music from the Middle Ages to the 21st century. May be repeated for credit (9 hours maximum).","0-3","Y"
"MUSI","2328","Music Theory I","3","Studies in music theory and analysis, keyboard harmony, ear training and sight-singing. ","0-3","Y"
"MUSI","2V71","Independent Study in Music","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum).","[1-3]-0","R"
"MUSI","3322","Music in Historical Context","3","Studies in the development of music from ancient Greece to the 21st century. Topics may include specific periods or musical styles. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: ARTS 1301, MUSI 1306, MUSI 2322, or permission of instructor.","3-0","T"
"MUSI","3328","Music Theory II","3","Harmony and composition, analysis of representative works from the literature, keyboard harmony, ear-training, and sight-singing.  Prerequisite: MUSI 2328 or permission of instructor.","0-3","Y"
"MUSI","3342","Topics in Music","3","Topics may include theory and composition, a specific composer, or a genre such as guitar literature, ""new music"" or jazz. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: Three hours of lower-division music coursework or permission of instructor.","3-0","T"
"MUSI","3380","Guitar II","3","Course builds musicianship and classical guitar technique through coaching and ensemble performance. Repertoire includes music from the 16th century to present-day composers. May be repeated for credit (9 hours maximum). Prerequisite: Permission of instructor.","0-3","Y"
"MUSI","3381","Instrumental Ensemble II","3","May include orchestra, winds, strings, chamber music, etc. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","S"
"MUSI","3382","Vocal Instruction II","3","Intermediate singing techniques and interpretive skills, focusing on fundamentals of correct breathing, tone production, style, interpretation, and diction. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","S"
"MUSI","3385","Chamber Singers","3","Chamber Singers is a performing ensemble of approximately 24 singers performing on a regular basis at the University and in the community. The repertoire for the ensemble will be selected from a broad range of chamber vocal literature, sacred and secular music from the Renaissance to the contemporary period. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","S"
"MUSI","3386","Jazz Ensemble II","3","A performing ensemble of approximately 24 players. Repertoire is selected from a broad range of jazz music. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","Y"
"MUSI","3387","Jazz Improvisation and Keyboard Harmony","3","Teaches techniques of jazz improvisation and keyboard harmony for instrumentalists and vocalists. Prerequisite: MUSI 2328 or permission of instructor.","0-3","Y"
"MUSI","3388","Piano II","3","Intermediate piano technique and interpretive skills for students continuing from Piano I or with prior training. The course focuses on repertoire building and performance of the works of major composers. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","T"
"MUSI","3389","Digital Music II","3","A project-based course incorporating advanced editing and signal processing techniques. May be repeated for credit (9 hours maximum). Prerequisite: MUSI 2319 or permission of the instructor.","0-3","T"
"MUSI","4312","Chamber Music Ensemble","3","Provides performance opportunities for undergraduate instrumentalists and singers. Repertoire will range from duos and trios to larger ensembles in musical styles from medieval to contemporary. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","S"
"MUSI","4345","Music Performance III","3","Technique and repertoire of a particular musical medium. May include piano, voice, guitar, strings, winds, or other instruments. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","T"
"MUSI","4346","Instrumental Ensemble III","3","May include Chamber Music Ensemble, Orchestra, Guitar Ensemble, or Jazz Ensemble. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","0-3","T"
"MUSI","4347","Vocal Ensemble III","3","May include Chamber Singers, Jazz Singers, or Vocal Ensemble. May be repeated for credit (9 hours maximum). Prerequisite: Permission of instructor.","0-3","T"
"MUSI","4348","Creating Music","3","Theory, principles, and practice of music composition. Includes study of notation, musical forms and styles, and the development and performance of new music. May be repeated for credit (9 hours maximum). Prerequisite: MUSI 2328 or permission of instructor.","0-3","T"
"MUSI","4V61","Individual Instruction in Vocal Performance","1-3","Intermediate and advanced-level instruction in singing techniques and interpretive skills.  Students must also be enrolled in a 3000 or 4000-level performance ensemble. May be repeated for credit (9 hours maximum).  Prerequisite:  Permission of the instructor.","[1-3]-0","R"
"MUSI","4V71","Independent Study in Music","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisite: Upper-division standing, and completion of all lower-division requirements in AP, and permission of the instructor.","[1-3]-0","R"
"PHIL","1301","Introduction to Philosophy","3","An introduction to philosophy through the consideration of topics such as human nature, good and evil, and the mind/body problem.","3-0","Y"
"PHIL","2316","History of Philosophy I","3","Intensive study of texts significant in the history of philosophy from antiquity through the Renaissance.","3-0","T"
